key,title,year,opening_date,releasemonth,releaseweekday,releaseweeknumber,total_gross,adjusted_gross,nVotes,userscore,metascore,metacritic_user_score,studio,total_theaters,opening_gross,adjusted_opening_gross,opening_theaters,vote_distribution,metatitle,metayear,imdbtitle,imdbyear,cpimultiplier
betterl99itry,Better Living Through Circuitry,2000,5/26/00,May,Friday,21,82378,113611.991,362,7.1,70, ,7Art,8,24970,34437.48834,4,12112,Better Living Through Circuitry,2000,Better Living Through Circuitry,1999,1.379154519
kikujir99atsu,Kikujiro,2000,5/26/00,May,Friday,21,200920,277099.7259,14205,7.9,44,8.4,SPC,4,28079,38725.27974,4,1311,Kikujirô no natsu,2000,Kikujirô no natsu,1999,1.379154519
passion00mind,Passion of Mind,2000,5/26/00,May,Friday,21,769272,1060944.955,2693,5.6,28, ,ParC,122,236047,325545.2867,104,211000,Passion of Mind,2000,Passion of Mind,2000,1.379154519
shangha00noon,Shanghai Noon,2000,5/26/00,May,Friday,21,56937502,78525613.18,94920,6.6,77,8.8,BV,2751,15607034,21524511.47,2711,23100,Shanghai Noon,2000,Shanghai Noon,2000,1.379154519
grass99rass,Grass,2000,5/31/00,May,Wednesday,22,313039,431729.1515,3254,7.3,64,7.9,Una.,10,21578,29759.39621,2,12211,Grass,2000,Grass,1999,1.379154519
bigmomm00ouse,Big Momma's House,2000,6/2/00,June,Friday,22,117559438,161286230.1,65804,5.1,33,5.9,Fox,2854,25661041,35205787.25,2802,1221000,Big Momma's House,2000,Big Momma's House,2000,1.371954756
newwate99girl,New Waterford Girl,2000,6/2/00,June,Friday,22,774469,1062536.428,1549,7.1,72,8.7,Ode.,20,40251,55222.5509,4,12211,New Waterford Girl,2000,New Waterford Girl,1999,1.371954756
running99free,Running Free,2000,6/2/00,June,Friday,22,117608,161352.855,515,5.7,22,6.9,Sony,100,55451,76076.2632,100,1111101,Running Free,2000,Running Free,1999,1.371954756
america99pimp,American Pimp,2000,6/9/00,June,Friday,23,287724,394744.3103,1963,6.6,59,8.4,7Art,9,28699,39373.72955,5,22100,American Pimp,2000,American Pimp,1999,1.371954756
catfish99auce,Catfish in Black Bean Sauce,2000,6/9/00,June,Friday,23,1319592,1810420.521,414,6.7,46, ,Iron,20,29827,40921.29452,11,2101,Catfish in Black Bean Sauce,2000,Catfish in Black Bean Sauce,1999,1.371954756
goneins00onds,Gone in 60 Seconds,2000,6/9/00,June,Friday,23,101648571,139457240.5,215432,6.5,35,8.7,BV,3089,25336048,34759911.56,3006,122100,Gone in Sixty Seconds,2000,Gone in Sixty Seconds,2000,1.371954756
groove00oove,Groove,2000,6/9/00,June,Friday,23,1115313,1530158.975,3540,6.5,54,8.8,Sony,50,55946,76755.3808,9,12101,Groove,2000,Groove,2000,1.371954756
love'sl00lost,Love's Labour's Lost,2000,6/9/00,June,Friday,23,299792,411301.0603,3792,6.1,35,6,Mira.,14,24496,33607.40371,2,111100,Love's Labour's Lost,2000,Love's Labour's Lost,2000,1.371954756
boysand00irls,Boys and Girls,2000,6/16/00,June,Friday,24,21799652,29908136.25,13475,5.3,29,7.3,Dim.,1989,7008950,9615962.29,1983,1221000,Boys and Girls,2000,Boys and Girls,2000,1.371954756
butterf00rfly,Butterfly,2000,6/16/00,June,Friday,24,2092682,2871065.023,72,7.2,58, ,Mira.,72,82973,113835.202,14,0.012003,Butterfly,2001,Butterfly,2000,1.371954756
jesus's99'son,Jesus' Son,2000,6/16/00,June,Friday,24,1302067,1786377.014,6192,7,76,7.9,Lions,95,37089,50884.42996,1,12211,Jesus' Son,2000,Jesus' Son,1999,1.371954756
letemps99oust,Time Regained,2000,6/16/00,June,Friday,24,247728,339871.6079,1795,6.9,72,8.3,Kino,7,38041,52190.53089,6,12111,Marcel Proust's Time Regained,2000,"Le temps retrouvé, d'après l'oeuvre de Marcel Proust",1999,1.371954756
shaft00haft,Shaft,2000,6/16/00,June,Friday,24,70334258,96495419.8,57779,5.9,50,8.1,Par.,2433,21714757,29791664.15,2337,122000,Shaft,2000,Shaft,2000,1.371954756
